,date,fund_amount
138,2022-05-07,712258.1867256738
139,2022-05-08,706423.983279589
140,2022-05-09,717531.2600112044
141,2022-05-10,722556.597137484
142,2022-05-11,718621.268834865
143,2022-05-12,715958.4363811708
144,2022-05-13,701880.8724598463
145,2022-05-14,697041.9586844639
146,2022-05-15,685209.5592070569
147,2022-05-16,688663.2735454079
148,2022-05-17,699364.456011433
149,2022-05-18,711748.3108591348
150,2022-05-19,711346.4213184456
151,2022-05-20,708802.9894551778
152,2022-05-21,709179.6829168038
153,2022-05-22,697641.1536254742
154,2022-05-23,707339.4382119081
155,2022-05-24,720876.1780640519
156,2022-05-25,726774.0473788418
157,2022-05-26,736030.7948083257
158,2022-05-27,749740.2518201261
159,2022-05-28,751786.0615487423
160,2022-05-29,743947.0913166264
161,2022-05-30,735406.3751869167
162,2022-05-31,734948.7407787552
163,2022-06-01,744799.6722950483
164,2022-06-02,754199.7551350474
165,2022-06-03,759045.4626240279
166,2022-06-04,765057.9055279569
167,2022-06-05,759819.5993146286
168,2022-06-06,770094.8570209406
169,2022-06-07,765990.4060239727
170,2022-06-08,771523.5613709082
171,2022-06-09,781101.3867172005
172,2022-06-10,782936.2927285061
173,2022-06-11,769410.4069735471
174,2022-06-12,773361.6423028576
175,2022-06-13,768915.784845307
176,2022-06-14,775992.3899330131
177,2022-06-15,762203.7528829884
178,2022-06-16,764604.0740895369
179,2022-06-17,751107.7871343469
180,2022-06-18,763268.9100347909
181,2022-06-19,754032.1996401886
182,2022-06-20,739897.277727539
183,2022-06-21,735031.4415796718
184,2022-06-22,727471.1140535979
185,2022-06-23,737395.1971348539
186,2022-06-24,725403.4113392752
187,2022-06-25,734996.9055397338
188,2022-06-26,721509.0635586601
189,2022-06-27,719606.5381891191
190,2022-06-28,709534.3396175988
191,2022-06-29,710495.7296137084
192,2022-06-30,700095.5316630695
193,2022-07-01,692001.20911099
194,2022-07-02,693557.2066961739
195,2022-07-03,683749.7018593228
196,2022-07-04,681099.6206364231
197,2022-07-05,678152.2652290975
198,2022-07-06,666925.4356927936
199,2022-07-07,653708.1961314589
200,2022-07-08,651885.6718698795
201,2022-07-09,659562.4344433014
202,2022-07-10,661998.9229735199
203,2022-07-11,654021.4321985751
204,2022-07-12,643759.082886555
205,2022-07-13,647871.1571513041
206,2022-07-14,644176.2100347162
207,2022-07-15,632426.4244855298
208,2022-07-16,623541.5424248385
209,2022-07-17,625240.5034038719
210,2022-07-18,615381.154547351
211,2022-07-19,621362.8763840939
212,2022-07-20,617928.4782184181
213,2022-07-21,612119.3582071254
214,2022-07-22,622800.5690140021
215,2022-07-23,623801.0243500143
216,2022-07-24,611680.5336438481
217,2022-07-25,611565.4954413836
218,2022-07-26,622295.1096559808
219,2022-07-27,615933.4745715982
220,2022-07-28,615233.534873469
221,2022-07-29,624575.1528460821
222,2022-07-30,628114.5910729491
223,2022-07-31,635783.2237835657
224,2022-08-01,635366.2814368645
225,2022-08-02,642142.919320249
226,2022-08-03,648496.2730521845
227,2022-08-04,657705.7973700175
228,2022-08-05,664364.689186288
229,2022-08-06,665023.0782723865
230,2022-08-07,652137.3808917429
231,2022-08-08,649504.5782764542
232,2022-08-09,637263.4313256429
233,2022-08-10,625199.4462178164
234,2022-08-11,626524.7856939232
235,2022-08-12,637099.9950889513
236,2022-08-13,624418.9032891853
237,2022-08-14,636777.7195876753
238,2022-08-15,626841.044897203
239,2022-08-16,619154.209993036
240,2022-08-17,630480.0453945224
241,2022-08-18,626499.7842483198
242,2022-08-19,623430.808866021
243,2022-08-20,620560.8666596904
244,2022-08-21,622026.7624761472
245,2022-08-22,615088.3959702494
246,2022-08-23,609548.7130390715
247,2022-08-24,620966.3203953147
248,2022-08-25,631218.9107218162
249,2022-08-26,625020.7083235104
250,2022-08-27,633195.5884977558
251,2022-08-28,628071.2514374576
252,2022-08-29,622387.2908353847
253,2022-08-30,621882.898517938
254,2022-08-31,628865.9485314718
255,2022-09-01,630060.4359932417
256,2022-09-02,617977.1629194259
257,2022-09-03,611865.0420631329
258,2022-09-04,618831.1962706264
259,2022-09-05,607131.6038000558
260,2022-09-06,610983.3351240772
261,2022-09-07,609001.4348405586
262,2022-09-08,615641.4030198577
263,2022-09-09,623266.9364390889
264,2022-09-10,632219.674097511
265,2022-09-11,631085.6945906557
266,2022-09-12,634331.3897314171
267,2022-09-13,642326.9485262809
268,2022-09-14,638773.9070193497
269,2022-09-15,641278.5497502362
270,2022-09-16,649500.4475607966
271,2022-09-17,638025.7252668298
272,2022-09-18,645204.2770808174
273,2022-09-19,639040.4855472726
274,2022-09-20,642466.427469016
275,2022-09-21,632433.2654513207
276,2022-09-22,637866.4567454833
277,2022-09-23,645718.9248782035
278,2022-09-24,650084.5321554736
279,2022-09-25,642924.2171543336
280,2022-09-26,642906.9026608572
281,2022-09-27,631378.2679406567
282,2022-09-28,631008.7710630212
283,2022-09-29,627138.2748520761
284,2022-09-30,617315.5119938132
285,2022-10-01,615187.0640757749
286,2022-10-02,622896.1034165911
287,2022-10-03,630012.2347587551
288,2022-10-04,620929.474533471
289,2022-10-05,622343.5417772915
290,2022-10-06,631370.6080988828
291,2022-10-07,641678.1159345602
292,2022-10-08,649725.2318213844
293,2022-10-09,652927.8573138689
294,2022-10-10,658133.125636928
295,2022-10-11,668121.2590788663
296,2022-10-12,667229.3786213432
297,2022-10-13,668606.9973454718
298,2022-10-14,669307.6277292841
299,2022-10-15,665215.0320322191
300,2022-10-16,656731.8957127965
301,2022-10-17,656033.9008396829
302,2022-10-18,666436.7869952511
303,2022-10-19,665246.0064618405
304,2022-10-20,654746.4110434604
305,2022-10-21,643369.7118566587
306,2022-10-22,644640.0600281665
307,2022-10-23,649311.5859569494
308,2022-10-24,661363.8485912697
309,2022-10-25,657860.2964979458
310,2022-10-26,657631.1430118891
311,2022-10-27,653680.339183106
312,2022-10-28,666122.5389739247
313,2022-10-29,670154.7213418055
314,2022-10-30,659904.0262778982
315,2022-10-31,662982.641132327
316,2022-11-01,656294.2691874418
317,2022-11-02,647499.4988109871
318,2022-11-03,639719.4082756386
319,2022-11-04,629651.2782643589
320,2022-11-05,639958.8449723818
321,2022-11-06,648461.3439049959
322,2022-11-07,639492.6473960243
323,2022-11-08,637825.7581427583
324,2022-11-09,630653.8979324029
325,2022-11-10,625810.0594234883
326,2022-11-11,615307.7701766005
327,2022-11-12,619906.212859657
328,2022-11-13,610702.8508630692
329,2022-11-14,601226.654238947
330,2022-11-15,596300.4507753705
331,2022-11-16,595504.6413712442
332,2022-11-17,596731.5866290204
333,2022-11-18,604733.6386922682
334,2022-11-19,614313.6731859392
335,2022-11-20,604660.7624433186
336,2022-11-21,594234.5531301334
337,2022-11-22,587413.1055038862
338,2022-11-23,596163.7009145726
339,2022-11-24,602669.9011276376
340,2022-11-25,607647.0316182867
341,2022-11-26,614140.569741428
342,2022-11-27,605119.4960280703
343,2022-11-28,604211.3383209261
344,2022-11-29,602884.0607698218
345,2022-11-30,606296.8829746714
346,2022-12-01,600923.0284907876
347,2022-12-02,612683.6634034214
348,2022-12-03,619543.9482330919
349,2022-12-04,630737.2126083812
350,2022-12-05,634683.9530696461
351,2022-12-06,635015.0479887661
352,2022-12-07,636772.7905280452
353,2022-12-08,626014.2644414449
354,2022-12-09,634957.2454964747
355,2022-12-10,637581.7622094555
356,2022-12-11,643393.0158379335
357,2022-12-12,653448.3997373244
358,2022-12-13,640988.1735523434
359,2022-12-14,628330.6970016193
360,2022-12-15,627582.7752522425
361,2022-12-16,626421.3902208525
362,2022-12-17,614524.7101795515
363,2022-12-18,613697.7797699781
364,2022-12-19,617728.1070090632
